Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,ret_1d,ret_5d,ret_20d,vol_10d,vol_30d,vol_zscore,rsi,bb_width,macd_diff,price_vs_sma50,momentum,ticker,anomaly_score,is_anomaly,anomaly_type
2025-07-03 00:00:00-04:00,617.214676143094,621.0124795190609,617.194824993195,620.0803833007812,51065800,0.0,0.0,0.0,0.007881385954874975,0.02201455451201939,0.05245363153794047,0.00445737020377829,0.0075653167197317645,-1.8488095039223706,73.14890688345844,0.03306906176556523,1.2402002981028133,0.06745961124025443,0.8852589976565284,SPY,-0.08807980503107815,False,normal
2025-07-07 00:00:00-04:00,618.1169852960921,618.7813935886118,612.6731706581298,615.4595336914062,74814500,0.0,0.0,0.0,-0.0074520170832973465,0.009383431286786426,0.049683716294760316,0.005538116824220944,0.0069296861877670155,0.05399070920167005,76.27697963000192,0.03328584486286594,0.962589716121732,0.0563730875505057,0.741902404851499,SPY,-0.13057002714020222,False,normal
2025-07-08 00:00:00-04:00,616.1238907210633,616.8775081543645,614.3093261623386,615.1224365234375,59024600,0.0,0.0,0.0,-0.0005477162177452977,0.0040302013048392205,0.038444909539934624,0.005364655713017011,0.006940372278766553,-1.1646797272455294,72.55672610495903,0.034057653765489505,0.6354440616383314,0.05309662947661103,0.648484497993657,SPY,-0.1710199358329404,False,normal
2025-07-09 00:00:00-04:00,617.5319680301938,619.4655183729625,615.6875662931247,618.8110961914062,66113300,0.0,0.0,0.0,0.005996626767211355,0.01037793349002003,0.043731486394307906,0.004760826228485634,0.00675855407732354,-0.7018829917011574,83.94809688803718,0.03529028921792242,0.5498663899686509,0.05671926603558,0.7490309575726032,SPY,-0.14335726149880718,False,normal
2025-07-10 00:00:00-04:00,618.9499658515675,621.5974919629854,617.7699723301522,620.5563354492188,57529000,0.0,0.0,0.0,0.0028203102183428364,0.008655000673118307,0.04077429174042124,0.004694698622447243,0.00582385841565152,-1.3370014002055306,84.77370109908371,0.03689446196914977,0.4949071658154889,0.05695788015568632,0.7265305621747278,SPY,-0.12962621390029505,False,normal
2025-07-11 00:00:00-04:00,617.5022136064131,619.6043777491163,616.3024294765994,618.3748168945312,63670200,0.0,0.0,0.0,-0.0035154238705955576,-0.002750556947425098,0.040081860052571416,0.004781644577507817,0.005733034385390691,-0.7839802059268809,83.2352305184148,0.037253803948143246,0.21029554122199912,0.05072466082775928,0.6125026341603612,SPY,-0.13212409646412254,False,normal
2025-07-14 00:00:00-04:00,617.9186632768227,619.9018415613931,616.5701165685465,619.5548095703125,51898500,0.0,0.0,0.0,0.0019082159291465839,0.006654013228690303,0.0379414398906146,0.004660860398529982,0.005722360302833334,-1.579434586394548,81.24693870187203,0.037798652091223794,0.010706540346770765,0.05018506211048899,0.6942740692158769,SPY,-0.12560029036614573,False,normal
2025-07-15 00:00:00-04:00,622.2420420602726,622.5791484786782,616.8279435196437,616.9072875976562,74317300,0.0,0.0,0.0,-0.004273265144196681,0.002901619203335315,0.04519134748532916,0.004851563898040613,0.005810416072732301,0.17291041101620316,71.6338642805454,0.03602290954168079,-0.36941658737494265,0.04340635962839131,0.668224337144487,SPY,-0.16104528982354355,False,normal
2025-07-16 00:00:00-04:00,618.4937831556223,619.4754466932056,612.8516386863737,618.9697265625,88987500,0.0,0.0,0.0,0.0033431911185151097,0.00025634700487775497,0.038802146767628276,0.004903659362496093,0.005774877820692697,1.248418990611867,72.95927640926683,0.03539660934871606,-0.5413476469663365,0.04482238151381891,0.6245415684743688,SPY,-0.13461699260618215,False,normal
2025-07-17 00:00:00-04:00,619.1482908768893,623.1146474859103,618.9301097920578,622.7576293945312,68885700,0.0,0.0,0.0,0.006119689977517551,0.0035472910670051316,0.05416751257235397,0.005051600500070827,0.0057849842745115055,-0.23270399414739143,72.26668381670657,0.03344123663662368,-0.4624261275613488,0.048892218045821875,0.692331822278184,SPY,-0.1728498293122911,False,normal
