Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-04-23 00:00:00-04:00,235.63731625364926,242.08197236154456,235.4215120035636,236.28472900390625,14126800,0.0,0.0
2025-04-24 00:00:00-04:00,235.1664754342962,240.78715979495186,233.04767825191306,239.97299194335938,9055200,0.0,0.0
2025-04-25 00:00:00-04:00,239.98279962585002,240.93429610814024,237.13812898804628,238.90379333496094,8588600,0.0,0.0
2025-04-28 00:00:00-04:00,239.89452661223797,242.13102985600685,236.24549185288936,238.58009338378906,7394300,0.0,0.0
2025-04-29 00:00:00-04:00,237.5697486449445,240.5713706917717,237.07928713486953,239.95338439941406,7216800,0.0,0.0
2025-04-30 00:00:00-04:00,236.60844827615284,240.541944198583,233.88146850985436,239.95338439941406,12991700,0.0,0.0
2025-05-01 00:00:00-04:00,238.20734299709588,243.7103217475342,237.55012636868136,242.18008422851562,8689600,0.0,0.0
2025-05-02 00:00:00-04:00,246.4667021122206,248.78168093946223,244.70105272563194,247.69285583496094,7165000,0.0,0.0
2025-05-05 00:00:00-04:00,246.38821912384302,250.29230323726398,245.80947817623058,247.7418975830078,5450700,0.0,0.0
2025-05-06 00:00:00-04:00,245.2307330928332,247.83017287653877,244.24981016046186,244.4950408935547,6369900,0.0,0.0
2025-05-07 00:00:00-04:00,245.08361641763196,247.63400722536448,244.08307077124687,244.63238525390625,8724100,0.0,0.0
2025-05-08 00:00:00-04:00,246.7708043040648,250.9985800051324,246.75118165326785,248.63455200195312,8320100,0.0,0.0
2025-05-09 00:00:00-04:00,249.64489244477116,250.635619242527,247.52609526635226,248.25198364257812,5087600,0.0,0.0
2025-05-12 00:00:00-04:00,257.8846409478204,258.57129899597703,253.7647824650602,255.08900451660156,9603900,0.0,0.0
2025-05-13 00:00:00-04:00,256.05034578816554,258.6399970419656,255.42257059461764,257.9925842285156,8589000,0.0,0.0
2025-05-14 00:00:00-04:00,257.9827669437803,261.5533412811179,257.28631994724986,260.5724182128906,8643100,0.0,0.0
2025-05-15 00:00:00-04:00,261.87698531695685,264.3783267139839,259.70915411050737,262.3870544433594,9214600,0.0,0.0
2025-05-16 00:00:00-04:00,262.39692703862465,263.3386048247773,259.6601432307779,262.4557800292969,8932900,0.0,0.0
2025-05-19 00:00:00-04:00,260.48410598167084,263.20128200998215,256.93316930268384,259.826904296875,12145000,0.0,0.0
2025-05-20 00:00:00-04:00,257.51191281628184,261.5729486833489,257.29610854408895,260.61163330078125,8436300,0.0,0.0
2025-05-21 00:00:00-04:00,259.30697200049985,260.5821597835497,255.75603592778836,256.06011962890625,7464000,0.0,0.0
2025-05-22 00:00:00-04:00,254.49067374288148,257.29609924459567,253.93154043030927,255.6972198486328,6514100,0.0,0.0
2025-05-23 00:00:00-04:00,251.9108411041023,256.9920152183282,251.11629584411466,255.73643493652344,6671800,0.0,0.0
2025-05-27 00:00:00-04:00,257.04106526626447,260.23885381510826,256.99200115618,260.22906494140625,7506600,0.0,0.0
2025-05-28 00:00:00-04:00,261.16091702282114,261.63177081627316,257.8846379571237,258.46337890625,5535400,0.0,0.0
2025-05-29 00:00:00-04:00,259.74838881098617,260.34676738524155,257.5217044601511,259.32659912109375,5081200,0.0,0.0
2025-05-30 00:00:00-04:00,258.4241883810186,260.26829856132497,257.7179225906518,258.96368408203125,10977700,0.0,0.0
2025-06-02 00:00:00-04:00,258.00235590026796,259.97402070361045,256.90372693326515,259.611083984375,6011200,0.0,0.0
2025-06-03 00:00:00-04:00,258.6988154428008,261.49442184863057,257.86502496413567,261.1903381347656,6998400,0.0,0.0
2025-06-04 00:00:00-04:00,260.84705493579474,262.0241445637471,259.14022857540317,259.1794738769531,5915700,0.0,0.0
2025-06-05 00:00:00-04:00,259.6895120537283,259.6895120537283,255.34403090689912,256.9527587890625,8173800,0.0,0.0
2025-06-06 00:00:00-04:00,259.28735892431575,261.56310742936586,259.2187170664052,260.6606750488281,7738100,0.0,0.0
2025-06-09 00:00:00-04:00,260.9255242470256,262.7892720045682,258.32608422186917,261.6513977050781,8285000,0.0,0.0
2025-06-10 00:00:00-04:00,260.80784010381797,263.77021710595534,260.77841360806616,263.4759521484375,7538100,0.0,0.0
2025-06-11 00:00:00-04:00,263.5543728329388,264.4764428071077,260.71952105435884,263.03448486328125,7434100,0.0,0.0
2025-06-12 00:00:00-04:00,261.76906334571646,263.17180580407035,260.08190474325323,263.12274169921875,6618000,0.0,0.0
2025-06-13 00:00:00-04:00,260.0230636958611,261.92605676944186,257.69828090375347,259.89556884765625,7098300,0.0,0.0
2025-06-16 00:00:00-04:00,261.90644458682067,266.5462212171046,261.75931212188453,265.20233154296875,8566000,0.0,0.0
2025-06-17 00:00:00-04:00,263.0541348281509,265.42795173106725,262.69116817138956,264.37835693359375,6739300,0.0,0.0
2025-06-18 00:00:00-04:00,264.849226160592,272.4219533800811,264.5745689012487,268.7336730957031,9586400,0.0,0.0
2025-06-20 00:00:00-04:00,270.3129479704052,272.00992553694005,268.5865139770169,269.7538146972656,13969700,0.0,0.0
2025-06-23 00:00:00-04:00,269.81264124435313,273.23605246885563,266.9189068142398,272.9613952636719,8094600,0.0,0.0
2025-06-24 00:00:00-04:00,274.864422081068,277.31672955102783,274.1777939507156,275.8944091796875,9267900,0.0,0.0
2025-06-25 00:00:00-04:00,276.1298306696613,278.85679547317505,275.55108967897763,278.6409912109375,6826900,0.0,0.0
2025-06-26 00:00:00-04:00,279.2687598498159,283.8888982978831,279.0431368074924,283.2414855957031,8942100,0.0,0.0
2025-06-27 00:00:00-04:00,280.3575637051558,283.19244517476585,279.6022638703118,281.63275146484375,17868600,0.0,0.0
2025-06-30 00:00:00-04:00,284.86003722869964,287.0671140098136,283.4082903268862,284.37939453125,12689200,0.0,0.0
2025-07-01 00:00:00-04:00,285.3406963303482,285.57610826317716,281.122709609671,284.8698425292969,9338300,0.0,0.0
2025-07-02 00:00:00-04:00,286.4687496948515,287.2338684064349,284.17339356010143,286.42950439453125,8158700,0.0,0.0
2025-07-03 00:00:00-04:00,287.95726066275904,292.1462676228288,287.03074848169234,291.75201416015625,6541600,1.4,0.0
2025-07-07 00:00:00-04:00,291.0127726573706,291.7914435365602,285.91695574871414,287.77984619140625,8825700,0.0,0.0
2025-07-08 00:00:00-04:00,285.1185912184717,285.54244302383853,276.28718720828704,278.72174072265625,15440900,0.0,0.0
2025-07-09 00:00:00-04:00,283.0586107622728,283.078342988919,278.42607952209454,279.0963134765625,11273800,0.0,0.0
2025-07-10 00:00:00-04:00,278.93858839126966,284.1723806999454,278.93858839126966,284.0541076660156,8410900,0.0,0.0
2025-07-11 00:00:00-04:00,281.42242882449017,283.2557511966082,279.5792704187099,282.7431945800781,7384700,0.0,0.0
2025-07-14 00:00:00-04:00,282.95018101073435,285.1481583723004,281.1661592607552,284.5567932128906,9079900,0.0,0.0
2025-07-15 00:00:00-04:00,283.866855384694,287.7601801900451,281.3830312287391,282.4376525878906,12526100,0.0,0.0
2025-07-16 00:00:00-04:00,284.2611002489253,286.5576787356624,278.9484690013939,281.7181396484375,9979800,0.0,0.0
2025-07-17 00:00:00-04:00,279.3722805662569,286.13381646736286,279.3722805662569,285.73956298828125,8509500,0.0,0.0
2025-07-18 00:00:00-04:00,285.365019447414,288.3022635940587,284.09355419862834,287.08990478515625,12217000,0.0,0.0
2025-07-21 00:00:00-04:00,286.8237577094983,289.95811320350606,286.4097720406625,286.794189453125,7898100,0.0,0.0
2025-07-22 00:00:00-04:00,287.3165917383993,289.41602825063205,285.02987956960806,287.2475891113281,6717500,0.0,0.0
2025-07-23 00:00:00-04:00,288.63734274746514,292.72777856797825,288.3514962209417,292.5010986328125,7083500,0.0,0.0
2025-07-24 00:00:00-04:00,293.15163750090335,295.29047824712586,291.9491449333037,292.2940979003906,7001200,0.0,0.0
2025-07-25 00:00:00-04:00,292.4420132724975,294.6104226016396,291.71261270067146,294.3344421386719,5918500,0.0,0.0
2025-07-28 00:00:00-04:00,293.3882007039174,295.13278810430046,292.5602593912129,293.9992980957031,5840400,0.0,0.0
