Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ret_1d,ret_5d,ret_20d,vol_10d,vol_30d,vol_zscore,rsi,bb_width,macd_diff,price_vs_sma50,momentum,ticker,anomaly_score,is_anomaly,anomaly_type
2025-07-03 00:00:00-04:00,490.9580057562307,497.2415119784696,490.59014753996934,495.9589538574219,13984800,0.0,0.0,0.015781265655180343,0.002794284049324469,0.07538758321613859,0.00942885940597616,0.008551175853991417,-0.9634094213895346,69.45258207150793,0.04288413152584771,-0.5504223214980897,0.09464189595785646,0.6818878857538913,MSFT,-0.17237438454896115,False,normal
2025-07-07 00:00:00-04:00,494.50736527479916,495.8694479262707,492.36978876052433,494.84539794921875,13981600,0.0,0.0,-0.0022452582003857913,0.0035891333001261128,0.06423198403195296,0.009071503401376644,0.00812730105320599,-0.8959976797068769,73.4445656256784,0.041951031204309826,-0.6328935238685851,0.08627183323200051,0.6734218586460263,MSFT,-0.17897892957269174,False,normal
2025-07-08 00:00:00-04:00,494.36815380384166,495.3226311177228,491.25622643335066,493.7517395019531,11846600,0.0,0.0,-0.002210101279708887,-0.0015882757137536396,0.05578459491247689,0.007821227988790327,0.008178360866166924,-1.1616236257173793,69.22564804017914,0.04078141595804524,-0.8331142075348996,0.078690339012582,0.6544683464833247,MSFT,-0.18670968388301123,False,normal
2025-07-09 00:00:00-04:00,497.41047691930333,503.8530622357068,496.85371365827956,500.6019592285156,18659500,0.0,0.0,0.013873813859313744,0.02329041542457122,0.06506608435498573,0.008464526398528233,0.008016342769809469,-0.17975954269928418,74.84875688427125,0.0415403650746226,-0.5877835032976773,0.08834276623534673,0.8278569522775575,MSFT,-0.15847709865228804,False,normal
2025-07-10 00:00:00-04:00,500.14458849842043,501.52657502305914,494.87521114411277,498.58367919921875,16492100,0.0,0.0,-0.004031706213070474,0.021157006548557122,0.06489414505358981,0.008696569059349369,0.007230748028917239,-0.5101675665165797,70.79089609706274,0.04000730402988924,-0.640677720279216,0.0787766015582008,0.7956810722927513,MSFT,-0.19709864356156037,False,normal
2025-07-11 00:00:00-04:00,495.59103056526646,502.1131401056752,494.9248868769196,500.41302490234375,16459500,0.0,0.0,0.003669084607950124,0.008980725139206447,0.0649570150532881,0.008196253493020639,0.006975850124923422,-0.5155718979322114,75.87852255786265,0.03859185590952127,-0.6307140184379616,0.07763460633484884,0.7399758423946259,MSFT,-0.1805905115877144,False,normal
2025-07-14 00:00:00-04:00,498.6234399223271,501.05930198422453,498.1362796464767,500.1147766113281,12058800,0.0,0.0,-0.0005960042528345699,0.010648535247467672,0.0504312420293489,0.008091692386030898,0.007010487015979028,-1.0807517730639757,70.3685581428817,0.03834296905556322,-0.71621505798384,0.07201239290550171,0.7227843370743886,MSFT,-0.19958489430807003,False,normal
2025-07-15 00:00:00-04:00,500.11477392946824,505.36427783294863,499.88612172349406,502.89862060546875,14927200,0.0,0.0,0.005566410200881,0.018525263551966598,0.06497395144155527,0.008187156810852102,0.00702431835805262,-0.6508757125480765,69.40942684724911,0.036645932190192965,-0.6587451138932892,0.0742616627184482,0.7961958562302657,MSFT,-0.2049736753341695,False,normal
2025-07-16 00:00:00-04:00,502.2623068754336,503.793421043838,498.99133023831314,502.69976806640625,15154400,0.0,0.0,-0.0003954127748910796,0.004190572568121054,0.05526566964648638,0.007000512929415358,0.007053912678744494,-0.6139036767278737,67.33311544552555,0.035501024876554876,-0.703523707762578,0.07060190526064632,0.7074275655188519,MSFT,-0.21015871894010946,False,normal
2025-07-17 00:00:00-04:00,502.75940886082554,510.40499725185873,502.6997578215743,508.7446594238281,17503100,0.0,0.0,0.012024854080743053,0.020379688803550566,0.07041254289857468,0.00734518125749089,0.007239100593624922,-0.29704686421326343,68.0791257230868,0.03483259830704913,-0.40997771467030475,0.07998479586584736,0.8262326008505545,MSFT,-0.19633823900424524,False,normal
